"br","bc","kappa","phi","nll"
20,25,1.93,150158345248274,-4092.24411165818
21,25,1.92,155033191644626,-3567.34273671397
22,25,1.96,78368431844552,-7048.90211465332
23,25,2.16,3000493658121286,-6828.63411003638
24,25,2.14,2566597149376334,-6333.28870549686
25,25,2.1,1714744120498304,-5567.9522675874
26,25,1.92,13937993256597.8,-9575.44059803576
27,25,1.74,289284214265.747,-11202.6044738096
28,25,1.68,90311905758.6166,-11416.8005886665
29,25,2,8492410491562.84,-14369.2519019746
30,25,1.95,1719338169437.97,-16129.8560815667
31,25,1.98,1702768736334.27,-17488.1254213139
32,25,1.75,41201816761.8936,-16510.9128009032
33,25,1.69,13476130955.5104,-16609.8244994258
34,25,1.98,342627536337.74,-21486.9225107521
35,25,1.81,9601143880.8118,-22826.7881849916
36,25,1.72,1929051489.34386,-22802.693314985
37,25,1.9,125452870741.939,-20432.4529026738
38,25,1.82,7720766361.36649,-23817.0976784694
39,25,1.65,1145790782.6899,-20961.9334507904
40,25,1.5,16965564.3153542,-24714.0396102194
1,26,2.03,596617656351949,-5096.73473921536
2,26,2.02,337762831372480,-6071.70026848976
3,26,1.77,1683247029871.04,-8153.11589912941
4,26,1.76,1633677542532.13,-7780.2670101113
5,26,1.86,9198684252307.05,-7937.75227280812
6,26,1.74,296494135215.406,-11141.2076981293
7,26,1.64,17217882662.481,-13754.3871826152
8,26,1.98,42784144928495.1,-9447.68890900628
9,26,2.05,756592289522586,-5391.82428794161
10,26,1.87,23779279607785.3,-6015.07975640196
11,26,1.89,14637519449292.6,-8116.8620151917
12,26,1.91,31296260620424.1,-7112.74203552502
13,26,2.04,396073093589081,-6562.29954674207
14,26,2,478735519621915,-4313.5052231399
15,26,1.97,83158712262242.2,-7345.63936303623
16,26,1.74,6667891243725.41,-3377.30714868748
17,26,2.08,6063427979038724,-1531.682005993
18,26,1.95,460108561737868,-2189.58563514343
19,26,1.97,305247267766718,-4102.51362929806
20,26,2.03,875871065995260,-4139.18232237182
21,26,1.89,66299576626302.3,-4349.43695343692
22,26,2,146536255415356,-7266.09051747566
23,26,2.01,161097625990022,-7474.01561165477
24,26,1.92,47776152798437.5,-6503.06159617928
25,26,2.12,664732750631459,-8817.19320475099
26,26,2.03,100863115362823,-9529.85007233494
27,26,1.75,34037954223.5562,-16987.2821361028
28,26,1.8,230666861358.588,-14451.2976750871
29,26,1.95,4036422618023.47,-14001.428153981
30,26,1.9,912934615446.34,-15482.5260401627
31,26,2.09,5205181102950.18,-19583.4798880004
32,26,1.87,129309974714.489,-19019.6872341639
33,26,1.92,290251575915.374,-19231.2750143035
34,26,2.01,1478669875367.13,-19173.0394135623
35,26,1.96,227010507724.401,-21624.2874443236
36,26,1.72,2420622103.19812,-22236.5649199885
37,26,1.81,12146086945.6085,-22240.3869083606
38,26,2.12,4816919173595.17,-21105.7560341309
39,26,1.62,1193753572.31271,-19511.6817933998
40,26,1.84,22546903629.3779,-22037.2962836112
1,27,2.09,2154633390186776,-4555.33078621626
2,27,2.25,24934114227555320,-5524.02150441964
3,27,2.21,6395561110696446,-7151.32245047111
4,27,2.15,3176622229601671,-6243.98183739677
5,27,2.1,1051915387677293,-6786.64832919849
6,27,1.6,45886344941.6262,-9511.48103084714
7,27,1.74,79037871914.7224,-14438.5258694527
8,27,1.84,8739257401639.87,-7173.09929421848
9,27,2.04,841888395743796,-4681.70212674477
10,27,2.06,820264081991206,-5633.88799446395
11,27,1.81,6766384329015.22,-6471.53546170097
12,27,2.08,753625917312135,-6732.0073947006
13,27,2.09,1508238320672553,-5444.88645105367
14,27,2.03,628731770014716,-4965.97865782639
15,27,1.97,163751485456114,-5655.70753646006
16,27,1.86,50205480715593.5,-3705.27530383636
17,27,2.04,1228868253200070,-3738.46771889295
18,27,1.91,125921433733592,-3640.69611967441
19,27,2.1,4608747481721241,-3102.15378226365
20,27,2.05,1247609338242992,-4144.42537643173
21,27,1.82,21655275121535.2,-4017.00539882404
22,27,1.78,875359751721.46,-10231.0605867026
23,27,1.85,1506544498825.01,-12003.8523520817
24,27,1.72,169745680335.076,-11636.3747196312
25,27,1.99,63986815063104.7,-8888.28236583738
26,27,2,96286050781894.6,-8313.44436711307
27,27,1.82,1636046169474.4,-10458.924150629
28,27,1.67,14318668861.9112,-15561.2980416842
29,27,1.68,25814975731.8935,-14540.0730020359
30,27,1.77,176438430278.75,-13778.352812062
31,27,1.79,64274082161.5234,-17191.202014572
32,27,1.89,99109919761.7362,-20574.6758368941
33,27,2.02,2433624472191.31,-18374.5081659382
34,27,1.96,701357804436.308,-18811.0008983165
